Name,Qty,Final Price- USD,Link
Nice!nano, 2, 51.1, https://typeractive.xyz/products/nice-nano
Lithium Battery 110mAh, 2, 8.77, https://typeractive.xyz/products/lithium-battery-110mah
Machine Sockets, 1, 2.83, https://www.aliexpress.com/item/4001122376295.html
Machine Pins, 1, 3.99, https://www.aliexpress.com/item/32858430771.html
PCB, 2, ~15.00 (including $20 discount), https://jlcpcb.com/
3d printed case, 2, 10.00, n/a
OLED, 2, 7.98, https://www.aliexpress.us/item/1005005301005280.html
Choc Switches, 50, 16.91, https://www.aliexpress.com/item/1005008883418065.html
1u keycaps, 40, 14.61, https://typeractive.xyz/products/mbk-keycaps
1.5u keycaps, 2, 2.19, https://typeractive.xyz/products/mbk-keycaps
SMD diodes, 100, 2.07, https://www.aliexpress.com/item/1005004629414782.html
Kalih Hotswaps, 50, 6.82, https://www.aliexpress.com/item/1005008543325730.html
Power Switch, 2, 2.19, https://typeractive.xyz/products/power-switch
Reset Button, 2, 2.19, https://typeractive.xyz/products/reset-button
Battery Jack, 2, 1.46, https://typeractive.xyz/products/battery-jack
Screw Kit, 1, 1.00, https://www.aliexpress.com/item/1005008459241647.html